word,pos,meaning,example
touchscreen,(n) 名詞,觸控螢幕,A touchscreen allows intuitive interaction.
console,(n) 名詞,控制台；遊戲主機,The console has a simple touchscreen interface.
prominent,(adj) 形容詞,顯著的；重要的,Touchscreens play a prominent role in consumer electronics.
personal digital assistant,(n) 名詞,個人數位助理,A personal digital assistant often used a touchscreen.
satellite navigation device,(n) 名詞,衛星導航裝置,A satellite navigation device can use a touchscreen.
gesture,(n) 名詞,手勢；觸控手勢,Pinch is a common touchscreen gesture.
stylus,(n) 名詞,觸控筆；手寫筆,A stylus can improve accuracy on a touchscreen.
detect,(v) 動詞,偵測；辨識到,The sensor can detect a fingertip on the screen.
coated,(adj) 形容詞,塗覆的；有塗層的,The screen can work with specially coated gloves.
zoom,(v) 動詞,放大；縮放,Users can zoom the text on a touchscreen.
information appliance,(n) 名詞,資訊裝置；資訊家電,A kiosk is an information appliance.
demand,(n) 名詞,需求,Smartphones increased the demand for touchscreens.
acceptance,(n) 名詞,接受度；採用度,Public acceptance of touchscreens has grown.
kiosk,(n) 名詞,資訊亭；自助機台,The museum installed a touchscreen kiosk.
automation,(n) 名詞,自動化,Touchscreens are useful in room automation.
intuitive,(adj) 形容詞,直覺的；容易上手的,A touchscreen is more intuitive than pushbuttons.
interaction,(n) 名詞,互動；互相作用,Touchscreens allow faster interaction with information.
sensor,(n) 名詞,感測器,A sensor can detect touch position.
accompanying,(adj) 形容詞,附隨的；伴隨的,The panel needs accompanying firmware.
firmware,(n) 名詞,韌體,Firmware controls how the touchscreen responds.
array,(n) 名詞,一系列；大量,The company offers a wide array of touchscreen products.
system integrator,(n) 名詞,系統整合商,A system integrator can combine hardware and firmware.
motherboard,(n) 名詞,主機板；母板,The controller connects to the motherboard.
acknowledge,(v) 動詞,承認；認知到,Manufacturers acknowledge the demand for touchscreens.
desirable,(adj) 形容詞,理想的；值得想要的,A touchscreen became a desirable interface component.
user interface,(n) 名詞,使用者介面,A simple user interface improves usability.
integrate,(v) 動詞,整合；使結合,Companies integrate touchscreens into product design.
fundamental,(adj) 形容詞,基本的；根本的,The touchscreen changed the fundamental design of devices.
resistive,(adj) 形容詞,電阻式的,A resistive panel responds to pressure.
capacitive,(adj) 形容詞,電容式的,Most smartphones use capacitive touchscreens.
transparent,(adj) 形容詞,透明的,The top layer must be transparent.
gap,(n) 名詞,間隙；空隙,There is a thin gap between the layers.
comprised,(adj/v.pp.) 形容詞,由……組成的,The panel is comprised of two layers.
electrically-resistive,(adj) 形容詞,具電阻性的；導電性較差的,The screen uses electrically-resistive layers.
coating,(n) 名詞,塗層；覆層,The screen has a special coating.
substrate,(n) 名詞,基板；底層,A resistive layer sits on its substrate.
voltage divider,(n) 名詞,分壓器,The panel acts like a voltage divider.
underside,(n) 名詞,下側；底面,The coating is on the underside of the layer.
beneath,(prep./adv.) 介系詞/副詞,在……之下,A similar layer lies beneath it.
sensed,(v./adj.) 動詞/形容詞,被感測到的,The touch is sensed by the other layer.
axis,(n) 名詞,軸；座標軸,The panel reads one axis at a time.
switching,(n/v.ger.) 名詞/動名詞,切換,Rapid switching helps detect the touch point.
contaminant,(n) 名詞,污染物；雜質,The screen can work even with a contaminant nearby.
sufficient,(adj) 形容詞,足夠的,Only sufficient pressure is needed.
rigid,(adj) 形容詞,堅硬的；不易彎曲的,Any rigid object can act as a substitute stylus.
substitute,(n) 名詞,替代物,A plastic tip can be used as a substitute.
reflection,(n) 名詞,反射；反光,Extra reflection can reduce readability.
insulator,(n) 名詞,絕緣體,Glass can serve as an insulator.
conductor,(n) 名詞,導體,The human body is an electrical conductor.
distortion,(n) 名詞,扭曲；變形,Touching the surface causes distortion in the field.
electrostatic field,(n) 名詞,靜電場,A finger changes the electrostatic field on the screen.
measurable,(adj) 形容詞,可測量的,The change in capacitance is measurable.
capacitance,(n) 名詞,電容,The system measures a change in capacitance.
electrically-insulating,(adj) 形容詞,電絕緣的,Most gloves are electrically-insulating.
usability,(n) 名詞,易用性；使用便利性,Cold weather may reduce touchscreen usability.
consumer electronics,(n) 名詞,消費性電子產品,Touch tablets are common consumer electronics.
overcome,(v) 動詞,克服；解決,A special stylus can overcome the problem.
special-application,(adj) 形容詞,特殊用途的,A special-application glove improves touch response.
embroidered,(adj) 形容詞,刺繡的,The glove has an embroidered patch.
conductive,(adj) 形容詞,導電的,Conductive thread lets the glove work on the screen.
thread,(n) 名詞,線；縫線,The glove uses conductive thread.
fingertip,(n) 名詞,指尖,The conductive patch touches the user's fingertip.
house,(v) 動詞,容納；裝設,The kiosk can house a computer terminal.
pushbutton,(n) 名詞,按鈕；按鍵,Pushbuttons were common before touchscreens.
alternatively,(adv) 副詞,或者；換句話說,The device is alternatively called a kiosk.
employ,(v) 動詞,使用；採用,The terminal employs custom software.
retrieve,(v) 動詞,取回；擷取,The kiosk can retrieve information from a network.
informational,(adj) 形容詞,提供資訊的,Some kiosks provide informational services.
commercial,(adj) 形容詞,商業的,Other kiosks serve a commercial purpose.
efficiency,(n) 名詞,效率,Touchscreen kiosks improve efficiency.
