word,pos,meaning,example
tablet,(n) 名詞,藥片；平板,A tablet can be used for reading or watching videos.
primarily,(ad) 副詞,主要地,This device is primarily used for entertainment.
touchscreen,(n) 名詞,觸控螢幕,The smartphone has a large touchscreen.
function,(v) 動詞,起作用；當作使用,This tool can function as a calculator.
device,(n) 名詞,裝置；設備,This device helps people communicate easily.
desktop,(n) 名詞,桌上型電腦,He uses a desktop at work.
laptop,(n) 名詞,筆記型電腦,She bought a new laptop yesterday.
hideable,(a) 形容詞,可隱藏的,The keyboard is hideable when not in use.
virtual keyboard,(n) 名詞,虛擬鍵盤,A virtual keyboard appears on the screen.
various,(a) 形容詞,各種各樣的,There are various apps available.
convertible,(a) 形容詞,可轉變的,This is a convertible laptop.
swivel,(v) 動詞,旋轉,The screen can swivel around.
joint,(n) 名詞,接合處,The joint allows movement.
slide joint,(n) 名詞,滑動接頭,The slide joint lets parts move smoothly.
hybrid,(n) 名詞,混合體,This tablet is a hybrid device.
detachable,(a) 形容詞,可拆卸的,The keyboard is detachable.
stand-alone,(a) 形容詞,獨立運作的,It works as a stand-alone system.
booklet,(n) 名詞,雙螢幕平板,The booklet design looks like a book.
dual,(a) 形容詞,雙重的,It has a dual screen.
variety,(n) 名詞,多樣化,There is a wide variety of apps.
smartphone,(n) 名詞,智慧型手機,Almost everyone has a smartphone.
differ,(v) 動詞,不同,These two models differ in size.
considerably,(ad) 副詞,相當地,The price differs considerably.
user interface,(n) 名詞,使用者介面,The user interface is easy to use.
operating system,(n) 名詞,作業系統,Android is an operating system.
processor,(n) 名詞,處理器,The processor is very fast.
application,(n) 名詞,應用程式,I downloaded a new application.
crucial,(a) 形容詞,關鍵的,Battery life is crucial.
media consumption,(n) 名詞,媒體使用,Tablets are good for media consumption.
derived from,(phr v) 片語動詞,源自,The design is derived from phones.
architecture,(n) 名詞,架構,The system architecture is complex.
disruptive,(a) 形容詞,顛覆性的,This is a disruptive technology.
dramatically,(ad) 副詞,顯著地,The market changed dramatically.
cannibalizing,(v) 動詞,互相取代,Phones are cannibalizing tablet sales.
associated,(adj) 形容詞,相關的,It is associated with innovation.
pen computing,(n) 名詞,筆式運算,Pen computing is useful for drawing.
information display,(n) 名詞,資訊顯示,The screen is an information display.
telautograph,(n) 名詞,電傳手寫機,The telautograph sent handwriting signals.
contemporary,(a) 形容詞,當代的,This is a contemporary design.
appear,(v) 動詞,出現,New devices appear every year.
science fiction,(n) 名詞,科幻小說,He likes science fiction.
alternative,(a)/(n) 形容詞/名詞,替代的；替代方案,This is an alternative option.
coin,(n)/(v) 名詞/動詞,硬幣；創造新詞,He coined a new term.
feature,(v) 動詞,以…為特色,The product features a touchscreen.
term,(v) 動詞,稱為,This is termed a hybrid device.
announce,(v) 動詞,宣布,The company announced a new product.
WebPAD,(n) 名詞,WebPAD 平板,WebPAD was an early tablet.
re-branded,(v) 動詞,重新塑造品牌,The product was re-branded later.
field work,(n) 名詞,實地研究,They conducted field work.
usability,(n) 名詞,可用性,Usability is important for devices.
release,(v) 動詞,發布,The company released a new tablet.
battery life,(n) 名詞,電池續航力,This device has long battery life.
simplicity,(n) 名詞,簡單性,Simplicity improves usability.
with respect to,(idiom) 片語,關於,We discussed this with respect to design.
perceive,(v) 動詞,認為,Users perceive it as useful.
shape,(n)/(v) 名詞/動詞,形狀；影響,Technology shapes our lives.
iOS,(n) 名詞,iOS 作業系統,iOS is used on iPads.
debut,(n) 名詞,首次亮相,The product made its debut in 2010.
popularize,(v) 動詞,普及,The iPad popularized tablets.
mainstream,(a) 形容詞,主流的,Tablets became mainstream.
multi-touch,(n) 名詞,多點觸控,Multi-touch allows zooming.
solid-state storage drive,(n) 名詞,固態硬碟,It uses a solid-state storage drive.
USB,(abbr.) 縮寫,USB,Connect it via USB.
Bluetooth,(n) 名詞,藍牙,Bluetooth connects devices wirelessly.
telephony,(n) 名詞,電話通訊,Telephony is built into smartphones.
