word,pos,meaning,example
unmanned,(adj) 形容詞,無人操作的；無人值守的,An unmanned aircraft does not need a pilot on board.
aerial,(adj./n.) 形容詞/名詞,空中的；航空的；天線,Aerial vehicles move through the air rather than on the ground.
drone,(n) 名詞,無人機；另可指雄蜂,The drone carries a camera as its payload.
aircraft,(n) 名詞,航空器；飛行器,This aircraft uses aerodynamic lift to stay in the air.
pilot,(n./v.) 名詞/動詞,飛行員；駕駛；操縱（飛行器）,An operator can pilot a UAV remotely from a ground control station.
aboard,(adv./prep.) 副詞/介系詞,在機上；上機,No human operator is aboard a typical UAV.
powered,(adj) 形容詞,由動力驅動的,A powered UAV can stay in the air by its own engine or propellers.
operator,(n) 名詞,操作者；控制人員,The operator monitors the data link at the ground control station.
aerodynamic,(adj) 形容詞,空氣動力學的,An aerodynamic design helps the aircraft fly efficiently.
lift,(n) 名詞,升力,Aerodynamic lift keeps the vehicle in the air.
autonomously,(adv) 副詞,自主地；自動地,The onboard computer allows the UAV to operate autonomously.
remotely,(adv) 副詞,遠端地；遙控地,The operator remotely pilots the drone through a data link.
expendable,(adj) 形容詞,可犧牲的；可拋棄的,An expendable UAV may not be recoverable after a mission.
recoverable,(adj) 形容詞,可回收的；可重新取回的,A recoverable UAV can be brought back safely.
lethal,(adj) 形容詞,致命的,Some UAVs can carry a lethal payload for combat missions.
payload,(n) 名詞,有效載荷,The payload may be a camera, sensor, or missile.
guided,(adj) 形容詞,導引的；受導引控制的,A guided system can designate and track a target.
term,(n) 名詞,術語；專門用語,The term UAS is broader than UAV.
coin,(v) 動詞,創造（新詞）；首次使用某說法,People coined the term drone because of its resemblance to a bee.
resemblance,(n) 名詞,相似；外表相似之處,The drone has a resemblance to a bee.
dumb-looking,(adj) 形容詞,看起來不聰明的；外表愚鈍的,The early drone looked dumb-looking but was still deployable.
loud-and-regular motor sound,(n) 名詞,刺耳且規律的馬達聲,The sound resembled a bee's loud-and-regular motor sound.
encounter,(v) 動詞,遇到；碰到,The name encountered opposition from aviation regulators.
opposition,(n) 名詞,反對；對抗,There was strong opposition from some regulators.
regulator,(n) 名詞,監管機構；調節器,Aviation regulators had different opinions.
aviation,(n./adj.) 名詞/形容詞,航空；飛行相關的,Aviation regulators monitor safety and operations.
ground control station,(n) 名詞,地面控制站,The operator monitors the UAV from a ground control station.
data link,(n) 名詞,數據連結；通訊鏈路,A data link transmits signals between operator and UAV.
support equipment,(n) 名詞,支援設備；輔助裝備,A UAS includes the aircraft, data link, and support equipment.
UAS,(n) 名詞,無人機系統,A UAS also needs a data link and support equipment.
miniaturization,(n) 名詞,微型化；縮小,Miniaturization made micro air vehicles more practical.
applicable,(adj) 形容詞,可適用的；適用的,The system is applicable to surveillance and logistics missions.
echelon,(n) 名詞,梯隊；層級,UAVs exist at multiple echelons of military operation.
pioneer,(v./n.) 動詞/名詞,開創；先驅者,Military leaders pioneered UAV development.
deployable,(adj) 形容詞,可部署的；可配置的,A small tactical UAV is portable and deployable.
aircrew,(n) 名詞,飛行人員；機組人員,An aircrew operates the vehicle.
surveillance,(n) 名詞,監視；監督,Surveillance missions are often dull but important.
armament,(n) 名詞,武裝；武器系統,The aircraft can carry armament or a nonlethal payload.
dull,(adj) 形容詞,沉悶的；乏味的,A long logistics mission can be dull for the operator.
recreational,(adj) 形容詞,娛樂的；消遣的,Recreational drones are often sold as RTF products.
policing,(n) 名詞,警務；執法,Policing and surveillance are common UAV applications.
