word,pos,meaning,example
pandemic,n,流行病,In some parts of the world malaria is still pandemic.
pandemic,a,流行的,Malaria is still pandemic in some regions.
coronavirus,n,冠狀病毒,SARS was a new strain of coronavirus.
corona,n,冠狀部,The corona is the top part of a tooth.
viral,a,病毒的,The video quickly went viral.
pneumonia,n,肺炎,The doctor checked for pneumonia.
symptom,n,症狀,He has flu symptoms.
fever,n,發燒,A high fever is common in infection.
cough,v,咳嗽,The smoke made me cough.
fatigue,n,疲勞,Patients reported fatigue.
smell,n,嗅覺,He lost his sense of smell.
nasal,a,鼻的,Nasal congestion is common.
congestion,n,阻塞,This reduces congestion.
conjunctivitis,n,結膜炎,He was diagnosed with conjunctivitis.
sore,a,疼痛的,I have a sore throat.
headache,n,頭痛,She has a headache.
muscle,n,肌肉,The disease causes muscle pain.
joint,n,關節,He injured his knee joint.
diarrhea,n,腹瀉,He had diarrhea.
rash,n,皮疹,She developed a rash.
chill,n,寒意,There was a chill in the air.
dizziness,n,頭暈,He felt dizziness.
nausea,n,噁心,He felt nausea.
vomiting,n,嘔吐,Nausea may lead to vomiting.
severe,a,嚴重的,The condition is severe.
shortness of breath,n,呼吸困難,Shortness of breath is dangerous.
appetite,n,食慾,Exercise increases appetite.
confusion,n,困惑,There is confusion about the plan.
chest,n,胸部,He felt chest pain.
irritability,n,易怒,The drug causes irritability.
consciousness,n,意識,He lost consciousness.
anxiety,n,焦慮,Illness can cause anxiety.
depression,n,憂鬱,She suffered depression.
disorder,n,失調,The system is in disorder.
neurological,a,神經的,It is a neurological disorder.
complication,n,併發症,There were no complications.
stroke,n,中風,He had a stroke.
inflammation,n,發炎,Aspirin reduces inflammation.
delirium,n,神志不清,Fever caused delirium.
recover,v,康復,Most patients recover.
treatment,n,治療,He received treatment.
oxygen,n,氧氣,Patients need oxygen.
respiratory,a,呼吸的,It is a respiratory disease.
respiratory failure,n,呼吸衰竭,Respiratory failure needs care.
acute,a,急性的,She felt acute pain.
syndrome,n,症候群,The syndrome is hard to diagnose.
sepsis,n,敗血症,Sepsis is dangerous.
septic shock,n,敗血性休克,She died of septic shock.
thromboembolism,n,血栓栓塞,Doctors monitor thromboembolism.
kidney,n,腎臟,He has kidney disease.
age,n,年齡,Age affects health.
age,v,衰老,She has aged quickly.
underlying,a,潛在的,There is an underlying issue.
lung,n,肺,Lung disease is serious.
diabetes,n,糖尿病,He has diabetes.
obesity,n,肥胖,Obesity is a health risk.
infect,v,感染,The virus can infect people.
hospitalization,n,住院,He required hospitalization.
mutation,n,突變,Radiation causes mutation.
variant,n,變種,This is a new variant.
emerge,v,出現,A new virus emerged.
designate,v,指定,They designated a leader.
announce,v,宣布,They announced the results.
transmissible,a,可傳播的,The virus is transmissible.
claim,v,聲稱,They claim it is safe.
proportion,n,比例,Children form a large proportion.
precaution,n,預防措施,Take precautions.
distance,v,保持距離,People distance themselves.
mask,n,口罩,He wore a mask.
ventilate,v,通風,Ventilate the room.
bent,a,彎曲的,The metal is bent.
elbow,n,手肘,He hurt his elbow.
tissue,n,組織,The tissue was damaged.
molecular,a,分子的,Study molecular structure.
detect,v,檢測,Tests detect the virus.
confirm infection,phrase,確認感染,Tests confirm infection.
PCR,n,聚合酶連鎖反應,PCR detects virus.
sample,n,樣本,They took a sample.
sampling,n,取樣,Sampling is important.
swab,n,棉棒,Use a swab.
amplifying,v,放大,The effect is amplifying.
exposure,n,暴露,Exposure causes symptoms.
antigen,n,抗原,The antigen triggers response.
protein,n,蛋白質,Protein is essential.
reliable,a,可靠的,This test is reliable.
circulate,v,循環,Blood circulates.
isolation,n,隔離,He stayed in isolation.
quarantine,n,隔離檢疫,She stayed in quarantine.
prevent,v,預防,Wash hands to prevent disease.
contact,v,聯絡,Contact your doctor.
protection,n,保護,Vaccines provide protection.
immune,a,免疫的,He is immune.
recognize,v,辨認,I recognized her.
bacteria,n,細菌,Bacteria cause disease.
vaccination,n,疫苗接種,He got vaccination.
preventive,a,預防的,Preventive care helps.
sneeze,v,打噴嚏,He began to sneeze.
efficacy,n,效力,The drug has high efficacy.
dose,n,劑量,He received one dose.
vaccinate,v,接種疫苗,Doctors vaccinate children.
chill guy,n,隨和的人,He is a chill guy.
shortage,n,短缺,There is a shortage.
curse,n,禍害,Noise is a curse.
