word,pos,meaning,example
Grid,(n) 名詞,網格；電力網,A metal grid had been placed over the hole to prevent people from falling in.
grid scale,(n) 名詞,電網規模的,Grid-scale storage refers to technologies connected to the power grid.
electric vehicle,(n) 名詞,電動車,Tesla is one of the best-known electric vehicle companies in the world.
clean energy,(n) 名詞,清潔能源,Solar power is a common source of clean energy.
battery,(n) 名詞,電池,A larger battery allows the car to travel farther.
solar,(adj) 形容詞,太陽能的；與太陽有關的,Many houses use solar panels to reduce electricity costs.
tribute,(n) 名詞,(尤指在正式場合表達敬意的)頌詞；禮物,Tributes have been pouring in from all over the world for the famous actor.
inventor,(n) 名詞,發明家,Nikola Tesla was a famous inventor and engineer.
electrical,(adj) 形容詞,電的；與電有關的,The store sells electrical equipment and goods.
CEO,(n) 名詞,執行長,The CEO announced a new strategy for the company.
overarching,(adj) 形容詞,首要的；包羅萬象的,The overarching theme of the election campaign was tax cuts.
expedite,(v) 動詞,迅速完成；促進；加快,Something needs to be done to expedite the process.
hydrocarbon,(n) 名詞,碳氫化合物,Electric cars reduce dependence on hydrocarbon fuels.
affordable,(adj) 形容詞,負擔得起的,Tesla hopes to produce more affordable family cars.
integrate,(v) 動詞,（使）融入；（使）成為一體,He seems to find it difficult to integrate socially.
architecture,(n) 名詞,架構,The software architecture controls many functions of the car.
indicate,(v) 動詞,標示；表明；顯示,Investigations have indicated large amounts of oil below the sea bed.
software update,(n) 名詞,軟體更新,Drivers can download a software update online.
functionality,(n) 名詞,功能,The navigation bar provides additional functionality.
performance,(n) 名詞,性能；表現,The update improved the vehicle's performance.
automaker,(n) 名詞,汽車製造商,The automaker set an all-time monthly sales record in June.
consumer,(n) 名詞,消費者,Tesla sells some vehicles directly to consumers.
auto,(n) 名詞,汽車,The town is dominated by its large auto assembly plant.
auto-,(prefix) 字首,自己的；自動的,An autofocus camera is an example of auto- technology.
dealership,(n) 名詞,經銷公司,The street was lined with car dealerships.
conflict of interest,(n) 名詞,利益衝突,I need to declare a conflict of interest here.
promote,(v) 動詞,促進；促銷；推廣,Companies are always thinking of new ways to promote products.
proactive,(adj) 形容詞,主動的；積極的,Companies have to be more proactive about environmental management.
diagnosis,(n) 名詞,診斷,The doctor has made an initial diagnosis.
remote diagnosis,(n) 名詞,遠端診斷,Remote diagnosis can help engineers detect battery problems early.
component,(n) 名詞,組成部分；零件,The car is made of many complex components.
proprietary,(adj) 形容詞,所有（人）的；業主的,He had a proprietary air about him.
automative,(adj) 形容詞,自動化的,Automative processes help speed up production.
outsource,(v) 動詞,外包；委外,Unions are fighting a plan to outsource services.
assembly,(n) 名詞,組合體；組成,The frame supports the engine assembly.
discreetly,(adv) 副詞,審慎地；謹慎地,The removal of the waste is done discreetly.
launch,(v) 動詞,啟動；推出；發起,The programme was launched a year ago.
charge,(v) 動詞,充電,She drove the car to charge its batteries.
charger,(n) 名詞,充電器；充電機,I left my phone charger in the hotel room.
free of charge,(adj./adv. phr.) 形/副短語,免費,Destination chargers are available free of charge at some hotels.
on-site,(adv.) 副詞,在現場的,We're meeting the contractor on-site tomorrow.
certified,(adj) 形容詞,有合格證書的；獲得資格的,A certified teacher is required for this position.
navigation,(n) 名詞,領航；導航,Navigation depended on a knowledge of the positions of the stars.
cell,(n) 名詞,電池；細胞,A cell is a device for producing electrical energy.
cylindrical,(adj) 形容詞,圓柱形的,The battery uses cylindrical cells.
lithium,(n) 名詞,鋰,Lithium is a chemical element used in batteries.
ion,(n) 名詞,離子,An ion is an atom that has an electrical charge.
commodity,(n) 名詞,商品；貨物,Diamonds are a valuable commodity.
feature,(n) 名詞,特色；特徵,The town's main feature is its ancient marketplace.
redundant,(adj) 形容詞,多餘的；累贅的,In the phrase 'unmarried woman', the word 'unmarried' is redundant.
intumescent,(adj) 形容詞,膨脹的；鼓起的,The intumescent material expands when heated.
floor,(n) 名詞,地板；地面,The floor was partly covered with a dirty old rug.
interior,(n) 名詞,內部,The agent had pictures of the house's interior.
truck,(n) 名詞,後車箱；卡車,The truck was loaded with supplies.
debris,(n) 名詞,碎片；殘骸,Debris from the aircraft was scattered over a large area.
armor plate,(n) 名詞,裝甲板,The armor plate helps protect the battery pack.
counterpart,(n) 名詞,作用相同者；相對應者,The prime minister met his European counterparts.
source,(v) 動詞,從（某地）獲取，(n) 來源,The produce used in our restaurant is sourced locally.
in-house,(adv.) 副詞,自行（設計、生產）;在組織內部的;在機構內部的,The company has an in-house training scheme.
mass-produce,(v) 動詞,大量生產,The company plans to mass-produce batteries.
autopilot,(n) 名詞,自動駕駛輔助系統,Autopilot can assist drivers on long highway trips.
burdensome,(adj) 形容詞,麻煩的；繁重的,Backpacking can be a burdensome task.
supervision,(n) 名詞,監督；管理,Students work under the supervision of a teacher.
autonomous,(adj) 形容詞,自治的；自治權,An autonomous machine operates without human control.
sensor,(n) 名詞,感測器,The car uses sensors to monitor the road.
self-driving,(adj) 形容詞,自動駕駛的,Self-driving technology is still developing rapidly.
ship,(v) 動詞,運輸；運送,We ship books out to New York every month.
ultrasonic,(adj) 形容詞,超聲的,Ultrasonic sound is too high for people to hear.
recognize,(v) 動詞,認出；識別,I recognized her immediately.
beta phase,(n) 名詞,測試階段；Beta 階段,The software is still in the beta phase.
